filename,fold,target,category,esc10,src_file,take
1-100032-A-0.wav,1,0,dog,True,100032,A
1-110389-A-0.wav,1,0,dog,True,110389,A
1-15689-A-4.wav,1,4,frog,False,15689,A
1-15689-B-4.wav,1,4,frog,False,15689,B
1-16568-A-3.wav,1,3,cow,False,16568,A
1-17970-A-4.wav,1,4,frog,False,17970,A
1-18074-A-6.wav,1,6,hen,False,18074,A
1-18074-B-6.wav,1,6,hen,False,18074,B
1-18755-A-4.wav,1,4,frog,False,18755,A
1-18755-B-4.wav,1,4,frog,False,18755,B
1-18757-A-4.wav,1,4,frog,False,18757,A
1-202111-A-3.wav,1,3,cow,False,202111,A
1-30226-A-0.wav,1,0,dog,True,30226,A
1-30344-A-0.wav,1,0,dog,True,30344,A
1-31251-A-6.wav,1,6,hen,False,31251,A
1-31251-B-6.wav,1,6,hen,False,31251,B
1-31836-A-4.wav,1,4,frog,False,31836,A
1-31836-B-4.wav,1,4,frog,False,31836,B
1-32318-A-0.wav,1,0,dog,True,32318,A
1-34094-A-5.wav,1,5,cat,False,34094,A
1-34094-B-5.wav,1,5,cat,False,34094,B
1-47819-A-5.wav,1,5,cat,False,47819,A
1-47819-B-5.wav,1,5,cat,False,47819,B
1-47819-C-5.wav,1,5,cat,False,47819,C
1-56380-A-5.wav,1,5,cat,False,56380,A
1-56380-B-5.wav,1,5,cat,False,56380,B
1-58277-A-3.wav,1,3,cow,False,58277,A
1-59513-A-0.wav,1,0,dog,True,59513,A
1-5996-A-6.wav,1,6,hen,False,5996,A
1-69422-A-3.wav,1,3,cow,False,69422,A
1-69641-A-3.wav,1,3,cow,False,69641,A
1-71030-A-6.wav,1,6,hen,False,71030,A
1-72229-A-6.wav,1,6,hen,False,72229,A
1-72229-B-6.wav,1,6,hen,False,72229,B
1-77160-A-3.wav,1,3,cow,False,77160,A
1-77241-A-3.wav,1,3,cow,False,77241,A
1-79113-A-5.wav,1,5,cat,False,79113,A
1-81269-A-3.wav,1,3,cow,False,81269,A
1-85362-A-0.wav,1,0,dog,True,85362,A
1-97392-A-0.wav,1,0,dog,True,97392,A
2-103423-A-3.wav,2,3,cow,False,103423,A
2-103424-A-3.wav,2,3,cow,False,103424,A
